,What class does the SI leader support?,Is this a full observation or coaching session?,What did you discuss with the SIL?,"If the SI Leader ran an activity for you, what were areas of strength and for improvement during that activity? (Please also put notes on these areas into their observation/self-reflection sheet.)",Additional Comments:,Session Requirements: [Session plan utilized (as far as you can tell)],Session Requirements: [Agenda displayed/shared],How was the session opened?,Which collaborative techniques did the SI Leader use during the session?,Space use: what was the structure of the room and its purpose?,The SI Leader... [Uses a variety of collaborative techniques & learning activities],"The SI Leader... [Uses activities that serve a broad range of learning styles (visual, auditory, kinesthetic)]",The SI Leader... [Includes or mentions study strategies or tips],"The SI Leader... [Redirects a majority of questions (to a student, the group, or source materials)]",The SI Leader... [Breaks down large concepts without re-lecturing],The SI Leader... [Allows students to process question or prompt before providing insight (wait time)],The SI Leader... [Consistently and effectively checks for understanding],"The SI Leader... [Actively encourages student interactions by moving around the room, having students scribe, break-out groups, etc]",The SI Leader... [Makes sure information is correct],The SI Leader... [Balances having a productive and flexible session],What are areas of improvement or strengths for the SIL from above?,Rate the SI Leader on the following: [Demonstrates respect for all students],Rate the SI Leader on the following: [Makes an effort to connect with all students],Rate the SI Leader on the following: [Fosters a comfortable learning environment for all students],Rate the SI Leader on the following: [Praises & encourages students for their contributions],Rate the SI Leader on the following: [Knows and uses the students' names],Rate the SI Leader on the following: [Behaves in a professional manner throughout session],Rate the SI Leader on the following: [Models excitement for the subject],Rate the SI Leader on the following: [Greets and actively incorporates all students (including late comers) into the session activities],Rate the SI Leader on the following: [Most people participated in the session],"Rate the SI Leader on the following: [Learning was student led (for example, SI participants hold the marker more than the SI Leader).]",What are areas of improvement or strengths for the SIL from above?,How many students were present in the session?,How did the session close?,Overall areas of strength for SI Leader. (Please copy your answer below into the email you send to the SI Leader.),Overall areas of improvement for SI Leader.  (Please copy your answer below into the email you send to the SI Leader.)
,CHEM!!,Full observation,,,,Yes,Yes,SIL did a super fun Buzzfeed quiz for her opener!,"Group discussion, Clusters, Gallery Walk",Promoted collaboration,Yes,Yes,,Somewhat,Yes,Yes,Yes,Yes,Yes,Yes,"Strengths: For the first activity, SIL had 3 whiteboards up around the room full of questions that were a recap from previous sessions. She did a great job of bouncing between the groups and checking in with them. It also looked like she had the correct answers on her iPad as she was walking around, and I think that's super smart to have that material readily available if students have questions. The students collaborated really well together and SIL did a great job of encouraging that collaboration. She then checked for understanding and transitioned into new material effortlessly - I really loved the balance of focus between new and old material.

Improvements: I think that SIL's redirection could be a little stronger! She utilized checking for understanding and wait time really well, but I would have liked to see her redirect questions to other students in the group, rather than jumping in herself. I'm being picky though because all other aspects of her session were so strong!",Yes,Yes,Yes,Yes,Somewhat,Yes,Yes,Somewhat,Yes,Yes,"Strengths: I read SIL's paperwork this semester, but haven't gotten the chance to observe a session of hers until now and I'm so glad I was able to! Her and SIL have a great dynamic throughout the session and the session environment is so welcoming. Although on the quieter side, SIL definitely takes control of the room and she was able to keep the students' attention span focused for the entirety of the session - I didn't see any students getting distracted or having side conversations. This is awesome! I also really enjoyed that SIL encouraged the students to read the questions carefully while they were practicing converting grams to moles and moles to grams. I really loved the cookie analogy that was given when they were reviewing limiting reagents. I think that no matter what content is being reviewed, a real life analogy can always help students understand the material better if they are struggling. 

Improvements: SIL had an idea about halfway through the session to switch up the groups of students a little bit and have them go up to the whiteboard instead of working with mini whiteboards at their table groups. I think this was a really great change to make based on how the session was going. I would have maybe liked to see this idea come from SIL instead, but honestly it's not that big of a deal because they are co-leads for a reason!! Sometimes all it takes to change the vibe of the session is to switch the groups up. Regardless though, SIL and SIL have a great relationship and I loved watching them bounce off of each other throughout the session. ",5,SIL had the students do a KWL for the closer. A great way to check for understanding!!,"SIL, this was a great collaborative session queen! I loved how attentive you were to the students throughout the session and I loved that the students gave their full attention to you and SIL. Your session environment is so welcoming and if I was taking chem I would be at all your sessions!! It was awesome to finally observe one of your sessions after reading your paperwork all semester. You did a really great job of walking your students through each step of the problems slowly without overwhelming them and I love that you encouraged them to read all the questions fully. You checked for understanding effortlessly and also did a really great job with wait time. I also really loved watching you and SIL bounce off each other throughout the session. Amazing job queen!!","My only note would be to redirect your questions a little more! It seemed like you were answering a lot of the students' questions right off the bat, so it might be good to redirect to other students in the table groups before answering - even if no one knows the answer! It's just good to at least see if anyone else has a guess or wants to try to answer before you jump in. Not a big deal at all though - just something I noticed!! You're doing a great job!!"
,CSCI-141,Full observation,,,,Yes,No,Presenting an option for what problem the student would like to work on ,"Group discussion, Turn to a partner, Think-Pair-Share, Assigned Discussion Leader",Promoted collaboration,Yes,Somewhat,Somewhat,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I liked how they adapted to only one student via acting as someone else to simply bounce ideas off, and their facilitation was also extremely solid especially in terms of wait time and redirecting questions. I suppose that there were opportunities to mention study tips that weren't taken, and additionally could have tied things back to class and class notes more. ",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"They were super attentive to the student, and I noticed they were great at noticing where the student was perhaps weaker in knowledge and would ask the student questions at well timed moments. Even when the student was visibly annoyed, the SIL was really patient with them, so overall really impressive facilitation of the session atmosphere! Super shoutout to the SIL noticing the student's pokemon shirt and thus making the last content activity pokemon themed. ",1,Comparing their top ten pokemon,"Incredibly impressive attentiveness! You were great at noticing where the student was perhaps weaker in knowledge and would ask the student questions at well timed moments. Even when the student was visibly annoyed, you were really patient with them, so overall really impressive facilitation of the session atmosphere! Super shoutout to noticing the student's pokemon shirt and thus making the last activity pokemon themed. ","It was a really incredible session so I admit the areas of improvement are pretty small; but don't forget to write the agenda on the board! It's helpful for students to have an idea of the time usage and also for any late joiners to at-a-glance see what's happening. Also, don't forget to redirect to class notes a bit; for example, when they ask if there are other ways to do something you could suggest checking the class notes/slides. "
,MATH-171,Full observation,,,,Yes,Yes,The session was opened by doing geometry matching. SIL drew geometry shapes on the board (that were very well drawn) and the students had to fill in the blanks on what the area and volume equation was for those shapes.,"Group discussion, Clusters",Promoted collaboration,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,SIL did a great job at having the students collaborate with each other. The three students were up on the whiteboard the whole time and were helping each other out.,Yes,Yes,Yes,Yes,Somewhat,Yes,Yes,Yes,Yes,Yes,"SIL did a great job, the students held the marker the whole time, and she facilitated the session very well. If a student had a question, SIL would call another student to answer that question (thus redirecting). ",3,The session closed by having the students mention what they learned in the session. ,"You did a great job at redirecting questions and letting the students lead the session. Every time the students asked you a question, you would redirect that question to a different student, which is awesome! All the students were engaged and participating. I liked how you split the cup problem into three parts and assigned each student a section to work on, determined by their marker color (and I agree with you - those cups are very annoying). ","When the students were doing the activity that was split into three sections, I would suggest having one of the students ""teach"" or explain the problem again from beginning to end make the sections come together. This will make the students understand how their sections relate together!"
,CHMG-141,Full observation,,,,Yes,Yes,The session was opened with obscure facts,"Group discussion, Clusters",Promoted collaboration,No,Somewhat,Yes,Unsure,Yes,Yes,Yes,Yes,Yes,Yes,"Areas of Strength:
The SIL promoted collaboration by having the students sit together and work on problems. She also showed effective use of wait-time by walking away from the students after giving them the problems and giving them some time to work on their own. Also, by going over the topic with a brain dump before giving the students practice problems, the SIL made it easier for the students to actively recall things. This means they could rely on each other more and learning was student-centered. The use of ""on a scale of 1-5"" was a great way to end the first activity and ensure she knew where the students were, especially since you could see the students were understanding things during the problem solving. The SIL also did an amazing job of redirecting questions to the group to bring them closer to the answer before clearly explaining their mistake or the process to get the answer.

Areas of Improvement:
The majority of the session content focused on practice problems in clusters. This is a very good way to ensure the students are understanding the material, but it may also bore them and not show additional ways the students could study the material. It may also not work for students with different learning styles. The SIL could try to incorporate different kinds of activities. 
There were instances in some problems where one students was solving the other question while the other watched. To ensure they completely understood the answer, the SIL could also ask them to explain the process to get to the answer instead of allowing the one who solved the answer to explain it. This way the SIL could be sure that both understood it.",Yes,Somewhat,Yes,Somewhat,Somewhat,Yes,Yes,Yes,Yes,Yes,"Areas of Strength:
The SIL did a great job of being flexible when connecting to the screens wasn't working out by bringing the problems to the students. The activities were entirely student-led and the SIL often had little role in the students finding the answers.

Areas of Improvement:
This is more of a nitpick since the session atmosphere was great. The SIL could try to use the students names when asking them questions to ensure all students are answering.",2,The closer was reminders on things coming up in the next week and some other notes (like class scheduling). They also played Spotle.,"You do a great job of promoting collaboration and using wait-time to ensure they work more with each other. By using practice problems and the ""on a scale of 1-5,"" you also do a good job of checking for understanding. By leaving the students alone during the activities, you made sure everything was student-led and they were discussing the problems with each other. You also did an amazing job of redirecting questions to the group to bring them closer to the answer before clearly explaining their mistake or the process to get the answer.","The majority of the session content focused on practice problems in clusters. This is a very good way to ensure the students are understanding the material, but it does not show additional ways the students could study the material and may not work for students with different learning styles. You could try to incorporate different kinds of activities. 
There were instances in some problems where one student was solving the other question while the other watched and agreed with it. To ensure they completely understood the topic, you could also ask them to explain the process to get to the answer instead of allowing the one who solved the answer to explain it. This way you can be sure that both understood it."
,GCIS-123,"Coaching session (i.e., no students have shown up in the first 15 minutes)","Marketing that works well for you vs what they're trying, Strategies to connect with students","I had the SI leader try to run the activity for me, but I do not understand code so i did not go well. He had a brainstorm about the class materials for the opener, and some practicing code problems for his content. We talked about how to market for the class and strategies to connect with other students such as talking to them in lab.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ECON-101,"Coaching session (i.e., no students have shown up in the first 15 minutes)","Marketing that works well for you vs what they're trying, Strategies to connect with students, Talk about what their session plan was and provide feedback (positive and constructive), How to collaborate with their professor to promote SI, Collaborating with professor to gain ideas for their session, Weekly emails, Other","SIL ran through his supply and demand activity, which I thought was very well structured and built on the topic organically. There also seemed to be a good amount of room for redirection and collaboration between students. My only suggestions would be to possibly have one student explain the answer and the other notate it on the board, switching out every problem. Also when a student gets an answer wrong, try to offer a few nudges or hints in the right direction before giving them the answer. Lastly, for econ activities, it might be fun to reference real companies or scenarios to add context and help them remember the material better. ","Last class was canceled, so the no-show makes sense. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MATH-171,Full observation,,,,Yes,Unsure,"""This or That"" horror movies","Turn to a partner, Individual Presentations",Promoted collaboration,Yes,Somewhat,Unsure,Yes,Yes,Yes,Somewhat,Yes,Yes,Yes,"Good time management and keeping the students on track. Made good use of the board. Gave the students time to solve the problem on their own. Checking for understanding was pretty good, reinforced practice problem concepts with different numbers.",Yes,Somewhat,Somewhat,Unsure,Yes,Yes,Yes,Yes,Yes,Yes,"Students were doing all the writing while SIL was walking around behind them. All the students were working individually. Jasmin did a good job quickly shutting a conversation about dropping out of college, even if it was probably a joke. When the students got off track, she was quick to get them back on track.",4,Casual side conversations about random stuff (rock climbing was one of them),"You kept the students on track, and quickly shut down a conversation about dropping out (it was probably a joke, but still). You showed the students some study strategies with having the students change the numbers in the practice problem and try again. You made the session student-led by staying back and letting the students work through the problems on their own/in groups.","Instead of explaining the process yourself, you could ask the students to explain their process, and ask them to go in more detail to check for understanding."
,CSCI-141,Full observation,,,,Yes,Yes,The session was oppened with a hangman activity to fill out the agenda,Only one student present,Promoted collaboration,No,Yes,Somewhat,Somewhat,Yes,Yes,Yes,Somewhat,Yes,Yes,"While it's hard to get a good idea of collaboration with only one student, I believe the session was structured in a way that could lend itself well to it. SIL was also good at recognizing the main areas to focus on with the student, and guiding the session in a way that covers them. The one area of improvement I'd recommend is if the student's confused about earlier lecture material that's necessary for the current session, it might be worthwhile to review it with them if they're the only student present. ",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"SIL did a great job at writing a session plan, and it was nice being able to see him run it with a student. I thought the coding portion was well done, and covered a good amount of content without going overtime (which is a common problem for these types of activities). I also liked how he connected it with an actual RIT-focused problem statement, it made the material a lot more memorable!",1,Quick content refresher,"While it's hard to get a good idea of collaboration with only one student, I believe the session was structured in a way that could lend itself well to it. You was also good at recognizing the main areas to focus on with the student, and guiding the session in a way that covers them. You did a great job at writing a session plan, and it was nice being able to see him run it with a student. I thought the coding portion was well done, and covered a good amount of content without going overtime (which is a common problem for these types of activities). I also liked how he connected it with an actual RIT-focused problem statement, it made the material a lot more memorable!","The one area of improvement I'd recommend is if the student's confused about earlier lecture material that's necessary for the current session, it might be worthwhile to review it with them if they're the only student present. "
,MATH-171,Full observation,,,,Yes,No,Kahoot,"Turn to a partner, Group survey",Promoted collaboration,Yes,Yes,Somewhat,Somewhat,Yes,Yes,Yes,Yes,Yes,Yes,"SIL did a good job in creating collaborative environment between the students. While the initial Kahoot activity could have used a bit more redirection while going over the answer, the pair practice problems were very collaborative. Good job checking for understanding and going over the problems when the students were confused. Also don't forget to write your session agenda on the board!",Yes,Yes,Yes,Somewhat,Yes,Yes,Somewhat,Yes,Yes,Yes,"Good job on the activities, they covered a lot of good content and seemed really relevant for the exam review. One thing I'd recommend is to possibly swap partners midway through the session, or have people work in groups of three. This would make it easier for you to check in on all of the students early and make sure they're on the right track. I'd also recommend congratulating your students a bit more when they figure something out or get a problem right, usually it leaves them less frustrated when they can't understand the material. ",3,Problem review,"You did a good job in creating collaborative environment between the students. While the initial Kahoot activity could have used a bit more redirection while going over the answer, the pair practice problems were very collaborative. Good job checking for understanding and going over the problems when the students were confused. Good job on the activities, they covered a lot of good content and seemed really relevant for the exam review. ","One thing I'd recommend is to possibly swap partners midway through the session, or have people work in groups of three. This would make it easier for you to check in on all of the students early and make sure they're on the right track. I'd also recommend congratulating your students a bit more when they figure something out or get a problem right, usually it leaves them less frustrated when they can't understand the material. Also don't forget to write your session agenda on the board! "
,CHMG-141,Full observation,,,,Yes,Yes,Some quick practice problems in pairs ,"Clusters, Turn to a partner",Promoted collaboration,Yes,Yes,Yes,Somewhat,Yes,Somewhat,Somewhat,Somewhat,Yes,Yes,"Nice job with balancing teamwork and keeping a variety of activities! However, there were points where her checking for understanding just consisted of ""does that make sense"", and sometimes things got a little bit lecture-y. It was interesting and not too long, and I did actually like the parts where she led them through a practice activity before setting them to do it, but I'd love to see more asking the students first!",Yes,Yes,Yes,Somewhat,Yes,Yes,Somewhat,Yes,Yes,Yes,"Nice job being especially sure to use their names, I haven't seen a lot of SIs do that. However, more alike what I have been telling a lot of SILs, I'd love to see more energy!! The atmosphere was chill and not too low, but for example, she didn't really smile at any point and genuine enthusiasm goes a long way!",4,"It was planned to be a checking for understanding problem, but was cancelled due to time","Nice job with balancing teamwork and keeping a variety of activities, as well as being sure to use their names! I haven't seen a lot of SILs make a conscious effort towards that, so it's great to see. Similarly, although it's a really simple thing to comment on, I liked that the room was intentionally rearranged since I also don't see that often, and the collaboration was super even. Great job making sure they all talked and contributed evenly, and lastly, I appreciate that the chosen practice problems were super intentional (like the ""notice how this is an example of what you might see on an exam""). ","Although the times the checking for understanding was just ""does that make sense?"" was partially for time's sake, it isn't super cohesive with the facilitation strategies so trust in your built-in checking for understanding during the practice problems! I know you had a lot planned so you were trying to focus on getting through the problems, but I also still recommend trying to hint them along to understanding something before explaining it, even if they don't know it beforehand. For example, as with the explanation that grams are effectively a useless measurement in those cases, that is a reasoning they should be able to get to especially if the students can brainstorm ideas off each other. But I understand the judgement call, so in large part this is just something I'm obligated to mention. "
,3,Full observation,,,,Yes,Yes,The session was opened by having students play the color method on their phones.,"Group discussion, Clusters",Promoted collaboration,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"The SI Leader actively encouraged students to interact. She checked for understanding by seeing how students solve the problems on the board. She often gave students a hint if they weren't on the right track, without giving them the full answer.",Yes,Yes,Yes,Yes,Unsure,Yes,Yes,Yes,Yes,Yes,SIL did very well at having the session be student-led. All the students participated in the session and were actively engaged. There were two students who knew more material who did the problem on their own while another student needed more guidance so Kylee helped that one student.,3,The session closed with last minute exam tips for the students.,"You did an excellent job redirecting questions and providing helpful hints without giving away the answer. You’ve built a great rapport with your students, and the session atmosphere feels positive and engaging. You also offer useful tips on what students should review, which helps them focus their studying effectively.","It seemed that one student was working at a slightly slower pace, so pairing her with another student could help keep everyone on track. Also, since the two students seemed to know each other well, consider splitting them up to encourage more balanced collaboration"
,MATH-171,Full observation,,,,Yes,Yes,Went right into the exam review problems,"Group discussion, Clusters",Promoted collaboration,Yes,Yes,Yes,Yes,Unsure,Yes,Yes,Yes,Yes,Yes,"SIL mentioned that he would be making a study guide and sharing it with everyone. I loved his way of redirecting questions, which was saying, ""I don't know, I just work here."" Dewel had a student be the scribe and write down what the other students were saying. He was also very flexible with the number of students, as students came and left over the duration of the session.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat,Yes,Somewhat,"SIL was very casual/friendly with all of the students, and used all their names. He praised students that got the correct answers. He didn't exactly incorporate all students into the activity, but that was because the activity was kind of just a group discussion at the time, and the newcomers could probably easily figure out what was going on. One area of improvement I'd suggest is that Dewel could do with holding the marker less. For the first activity, he was the primary person holding the marker 90% of the time because he was writing down what the students were saying.",10,It was practice problems all the way up until the students left,"You were very friendly/encouraging with all of the students, and used their names. You had great checking for understanding, repeatedly telling the students to explain their answers to each other. You did a great job handling so many students. I loved your way of redirecting questions, ""I don't know, I just work here."" ","One area of improvement I'd suggest is that you could do with holding the marker less. For the first activity, you were the primary person holding the marker 90% of the time, and the session was sort of like a lecture, and you were writing down what the students were saying.  You can also work on your time management."
,CHMG-141,Full observation,,,,Yes,Yes,NYT Connections! (In group discussion style),"Group discussion, Clusters",Promoted collaboration,Yes,Yes,Somewhat,Somewhat,Yes,Yes,Somewhat,Yes,Yes,Yes,"At a few points she explained things to the students before trying to hint them along to the answer (it was small moments so I don't think it actually took away from any learning but) don't forget to always try redirecting first! Additionally, although the teamwork was usually great, there were definitely some students who held the marker a little more than the others— I'd love to see some swapping around of markers and teams. ",Yes,Yes,Yes,Somewhat,Somewhat,Yes,Yes,Yes,Yes,Yes,"Awesome job with the energy level and making the students hold the marker— Notably, the opener and closer really helped set the session atmosphere as I've been telling many SILs, so I appreciate the utilization thereof! ",4,A (group discussion) hangman,"Awesome job with the energy level and making the students hold the marker— Notably, the opener and closer really helped set the session atmosphere as I've been telling many SILs, so I appreciate the utilization thereof! ","There were some students who held the marker a little more than the others— I'd love to see some swapping around of markers and teams. Also, I didn't really notice much redirection (even though it was a super solid session otherwise). With four students and a class that I think is pretty notes-heavy, there is a lot of opportunity for redirection to other students and class notes, so just a little bit more of that would be great! To be fair, they didn't ask many questions and the couple times you did explain (for example with subscripts) it was brief enough that I think there was nothing wrong with it. "
,CSCI 242,Full observation,,,,Yes,Yes,"SIL opened the session with a tier list of how useful or not useful concepts the students have learned in the class are. As I walked into the room before the session started, he was chatting with his students about a recent exam.",Group discussion,Promoted collaboration,Somewhat,Somewhat,Somewhat,Yes,Yes,Yes,Somewhat,Yes,Yes,Yes,"I really liked that SIL did a lot of whiteboard activities with the students. I know that CS usually does a lot of coding practice on the whiteboards at most sessions, but I especially loved that SIL utilized the whiteboards with wheels and physically moved it closer to where the students are sitting - instead of using the ones attached to the wall. In my opinion, this helped the session feel more casual and almost like a conversation between the SIL and the students. SIL did a great job with wait time and redirection, but I would have liked to see him utilize checking for understanding a little more - even a simple 1-5 or lights out method would have been useful at a few points during the session. The students did not seem super lost with the content and they were asking really good questions, but checking for understanding is too important to leave out!",Yes,Yes,Yes,Yes,Somewhat,Yes,Yes,Yes,Yes,Somewhat,"SIL's session environment is really awesome and he has a great relationship with his students from what I can see. He made the content fun and broke it down easily so that the students were able to stay engaged for the entire duration of the session. This is something I occasionally struggled with when supporting photo tech because my students would often get antsy or distracted towards the end of the session. There was one point in the session when the 3 students were up at the whiteboard working on graphing together and SIL was sitting at a table while the students worked. Genuinely just the act of him sitting back and watching rather than standing and almost hyper-monitoring the whiteboard while the students worked is really awesome - it was a great visual representation that he was letting the students hold the marker instead of himself.

I think that SIL planned activities that allowed for great collaboration, but I would have liked to see a little more variety in his use of CLTs. The session was pretty much only whiteboard work the whole time. He was having students do different things up at the whiteboard but I would have liked to see him challenge himself and maybe try a gallery walk instead or something like that to switch up how the students are taking in the material.",3,SIL and the students just chatted about their plans for the week and what classes they're going to take for the next semester.,"SIL - I think that your session was great! Your session atmosphere was really welcoming and as I was walking into the room, I loved that you were chatting with the students before the session even started. Your wait time and redirection are super strong, and I think that you utilized the strengths of this room really well - grabbing a rolling whiteboard to bring it closer to the students instead of just using the ones that are bolted into the wall was a great idea! It made the session feel more casual while you and the students were going over the material. It is clear that you enjoy your job and I was happy to observe your session today.","I have two notes for you - one of them being to check for understanding MORE! I heard you say ""so does this make sense so far?"" to your students a few times - because this is a yes/no question, it is easy for students to just say they understand even if they really don't. Your students did not appear to be super confused (in fact, I thought they did great with the material and asked a lot of really good questions), but regardless, it is still super important to utilize other methods to check for understanding instead of simply asking ""does this make sense?"" You could maybe try asking your students ""hold up a finger 1-5, how do we feel about this material?"" during your next session this week.

My second note is that it would be nice to see you utilize a wider variety of collaborative learning techniques! Your session was mostly on one whiteboard, so I was thinking that maybe a gallery walk or something like that might be a good way to get the students thinking on their own or answering each other's questions, something like that. Great job overall though!!"
,MATH-171,Full observation,,,,Yes,Yes,derivative review ,"Group discussion, Clusters, Individual Presentations",Promoted collaboration,Yes,Somewhat,Yes,Somewhat,Yes,Yes,Somewhat,Yes,Yes,Yes,"The SI leader did a good job guiding the students through the practice questions, offering follow up questions. I liked how even though the students were doing jeopardy, they were working in pairs at white boards. This made this exam review portion very collaborative and student centered. The SI leader also actively walked around while students worked on the questions to assist and check to for understanding. ",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"The SI leader fostered a fun, energetic and collaborative session atmosphere. The students seemed comfortable with the SI leader. All of the students were participating, engaged asking and answering questions. The SI leader was professional and had a good balance between productivity and fun. One areas of improvement would be in utilizing different ways to check for understanding through the session. The SI leader could also ensure that they are redirecting all questions before stepping in to solving the questions. Most of the students questions were redirected however in some instances I think the SI leader could first ask the students partner for help before explaining or giving a hint. Great job having students present their solutions this is a great way to check for understanding. ",6,The session finished with a exam review debrief discussion. I felt like this was a good way to wrap up the session.  ,"The SI leader fostered a fun, energetic and collaborative session atmosphere. The students seemed comfortable with the SI leader. All of the students were participating, engaged, asking and answering questions. The SI leader did a good job guiding the students through the practice questions, offering follow up questions. I liked how even though the students were doing jeopardy, they were working in pairs at white boards. This made this exam review portion very collaborative and student centered. The SI leader also actively walked around while students worked on the questions to assist and check for understanding. Great job having students present their solutions, this is a great way to check for understanding. ","The SI leader could also ensure that they are redirecting all questions before stepping in to solving the questions. Most of the students' questions were redirected, however in some instances I think the SI leader could first ask the students partner for help before explaining or giving a hint. I also think that the SI leader could try to incorporate another way to check for understanding during the SI session. "
,MATH-171,Full observation,,,,Unsure,No,The SIL did not include an opener,Individual Presentations,Promoted collaboration,Yes,Yes,Somewhat,Yes,Yes,Yes,Yes,Somewhat,Yes,Yes,"The content was super relevant - my last SI session was also an exam review with a Jeopardy! It's always great to get students to work in teams and have fun, and the questions were very appropriate. ",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"The SIL has an amazing session atmosphere. It's clear the students feel very comfortable and are ready to learn and make mistakes while having fun. The students were collaborating, talking, and laughing throughout the session which was awesome! ",4,Session did not have a closer.,"You had an amazing session atmosphere. It's clear the students feel very comfortable and are ready to learn and make mistakes while having fun. The students were collaborating, talking, and laughing throughout the session which was awesome! 

The content was super relevant - my last SI session was also an exam review with a Jeopardy! It's always great to get students to work in teams and have fun, and the questions were very appropriate. ","In the future make sure you show up to sessions on time so you can start your session on time and have enough time for all of your activities. It's also an important aspect of professionalism for your image to your students. Additionally, don't forget to write your agenda on the board, and even if you're running late, you still need to include an opener. You mentioned that students came for math so you wanted to get right into it, which I totally understand. You can always include something content related as your opener, like a brain dump, some kind of game with math questions, a review from the last session, or even a challenge question. Also make sure to include a closer, I also am usually running out of time by the end of my session, so I recommend a quick closer like just a check in question - whats something you're looking forward to over the weekend?, whats your favourite ice cream flavour?, etc."
,CSCI - 243,Full observation,,,,Yes,Yes,Question of the day: Asked the student how their weekend was going and general checked in.,"Group discussion, Turn to a partner",Promoted collaboration,Somewhat,Somewhat,Yes,No,Yes,Somewhat,Yes,Yes,Yes,Yes,"Had consistent checking for understanding and broke topics down into simpler parts for the students to build back up and explain themselves. However, the SI could use some more variety in activities and could really hone in on redirection during sessions. ",Yes,Yes,Yes,Somewhat,Yes,Yes,Yes,Yes,Yes,Yes,Everything had the the students front and center. The students drove the examples and questions. From the brain dump to the content where they built up a data structure piece by piece. It felt as if the students we're driving the conversation and we're involved. ,2,Reminders,"* The SI began the session by checking in with the student and asking what they wanted to focus on, creating a personalized and welcoming start.

* The SI effectively adjusted the activity to fit the student’s needs and maintained a reassuring, relaxed environment that felt like a study session rather than another lecture.

* The students were clearly comfortable; they asked questions freely, and the session felt conversational. In fact, from the brain dump to the queue/stack implementation, it felt like the students were driving the conversation.

* The SI consistently checked for understanding through a variety of methods (drawing, coding smaller sections, discussing edge cases, and allowing the use of notes).

* Something small, but the SI made great use of conceptual connections, linking ADT to encapsulation and abstraction, which helped the student make meaningful connections between new and prior knowledge.

* Led the students through defining concepts, breaking them down, and rebuilding them in a logical way. ","* The SI could hone in on wait time and redirection a bit more. In particular, redirection could be implemented by bouncing one student's question to another. This not only encourages critical thinking but also encourages peer-to-peer discourse. 

* When a new student arrives late, consider integrating them by having the first student explain what’s been covered so far. This can build rapport, serve as a check for understanding, and reinforce the idea of it being a study group. 

* In moments when a question arises that you’re unsure about (e.g., the discussion around size_t), take advantage of redirection by prompting students to explore the concept further:

“What do you think size_t might be used for?”

“Why might the professor prefer this type?”

Have students look up definitions or examples together to promote discovery learning."
,MATH-171,Full observation,,,,Yes,Yes,Reviewing shape differentiation equations,"Group discussion, Clusters, Turn to a partner",Promoted collaboration,Yes,Yes,Yes,Yes,Yes,Somewhat,Yes,Yes,Yes,Yes,"Great job with collaboration, the students seemed to be relaxed and chatting while still working on the problem activities. I also though you did a good job with checking for understanding, and reviewing more challenging topics like differentiation when the students didn't understand them completely. Also good redirecting between the student writing on the board and the one observing. I'd recommend possibly including a bit more wait time before jumping in with a solution, but other than that great job!",Yes,Yes,Yes,Somewhat,Yes,Yes,Somewhat,Somewhat,Yes,Yes,"Great vibes, your regulars were clearly very comfortable participating and chatting. The activities were student-lead which was great, and you were willing to check on an answer when you weren't 100% sure. Once again I'd highly recommend trying to arrive in the room a couple minutes before your session start time. Trying to get into the locked room a few minutes after the designated time isn't great, especially if you're expecting newcomers. I'd also recommend keeping the door propped open or unlocked during the session so people are able to join more easily.",2,Going over study strategies,"Great job with collaboration, the students seemed to be relaxed and chatting while still working on the problem activities. I also though you did a good job with checking for understanding, and reviewing more challenging topics like differentiation when the students didn't understand them completely. Also good redirecting between the student writing on the board and the one observing. Great vibes, your regulars were clearly very comfortable participating. The activities were student-lead which was great, and you were willing to check on an answer when you weren't 100% sure. Also loved the study strategy closer!","Once again I'd highly recommend trying to arrive in the room a couple minutes before your session start time. Trying to get into the locked room a few minutes after the designated time isn't great, especially if you're expecting newcomers. I'd also recommend keeping the door propped open or unlocked during the session so people are able to join more easily. Possibly include a bit more wait time before jumping in with a solution, but other than that great job!"
