,"What are your thoughts about the opener, activities, and closer?",Describe how the SI Leader interacted with the students. How did they foster a comfortable and productive learning environment? ,Describe one thing the SI Leader could work on improving?,Describe one thing the SI Leader did very well.,What general feedback would you like to share with the SI Leader?
,The opener was really good for getting the students involved and checking to make sure the angles for the unit circle were right. The matching activity was really nice for the students because it allowed for them to do practice problems without just being practice problems. One of the students would help them out with explaining how the trig identities you can solve them quicker. ,He was talking with the students but he also kept  it on task and he would talk to the students about certain topics gone over in class to allow him to get a gauge on what does or doesn't make sense. He was very open on what worked for him to solve the identities and the unit circle.,I think that there could be maybe some games or something involved but I think that for the current students that were there it was a good set up.,He allowed the students to work on the problems and figure out what worked for him.,The session you ran was really good and I think is a pretty good session. The way you explained things was really good. I think this was overall really good session and students were engaged the whole time.
,"There was not really an opener, I do not blame him, as it took him technical difficulties to set the monitor up.","Listened to students feedback, and gave out prizes when they got prizes, which motivates them.",Let the other student answer the other students question instead of answering it themselves.,Foster a productive learning environment and have a friendly atmosphere. Asks good follow up questions.,"Try having some variety with the whiteboard activities, like races between each other, creating friendly competition. "
,"This was a no show session (talked with Owen about his opener, activities, and closer, with him running one with me). I thought they were engaging and would have worked well for students, focusing on graphing and algebra techniques (Piecewise Functions, general graphing).",,"Using our marketing tactics to try get more students to show up, such as offering candy, ducks, or even preparing for the quizzes (since there are no exams in Math 101). After talking, Owen shared that it is a smaller class (12 students) where many of the students don't even show up, so I think just focusing on the ones that do and maybe asking them what they might need help on would potentially get students to show up.","The activities planned were super engaging for the students and made sense with the content. Owen was clearly utilizing collaborative learning techniques from an SI perspective but as a student, it would just seem like you were working in a group or with a partner.","Consider reaching out to your co-hort to see if any of them are also having attendance issues and maybe do a ""mid-semester"" bonus session (can market as a way to improve grades with even half a semester left). Overall, best of luck and hopefully others show up in the future!"
,The Opener was geoguesser which didn't work because Zoe couldn't get the TV to connect to his computer,Zoe did a good job making the discussion feel comfortable. I felt like I could talk to him very casually ( like a friend). ,The SI could work on making his activities more interactive. He had two questions for his students to work on. The first was a Venn Diagram and the second was drawing a UML diagram. These activities are fine for learning concepts but they don't always make for the most fun SI session.,Zoe did a great job explaining what he had planned for the session and moving from activity to activity. He's a good communicator,Zoe could work on designing more interesting activities
,"I thought the activities were very interesting, and they allowed the students to work collaboratively",SIL made sure to be relatable with the students to make a comfortable environmemt,"I think the resume activity kinda dragged on for a bit too long, but that's a weird one-off activity anyways",I thought the planning for the activities was strong,I loved the rapport you had with the students! The environment felt very welcoming.
,"I thought the opener was great, starting off with a good introduction into the topics of the session that was fun and interactive through Two Truths and a Bug. The activity was a good way to help divide the subjects and create a nice build-up by starting with the bare basics and leading up to the overall theme.","It was mostly bouncing back between the SI Leader and the students. The students would collaborate together on answering the problem at hand, and he would facilitate, moving the conversation along through redirecting questions and other techniques. ","I think they could have made a more direct approach for checking for understanding. There were a few moments where the topic of conversation moved-on, but I felt that the student, while technically answering, was maybe a bit confused still.","I think their interactions with the students were very well. They did a great job making them feel comfortable in the environment,  and had a great rapport with them. ","Overall, really enjoyed the session. He has a great rapport with his students, the activity was nicely done, and I think he did a great job. "
,"Opener - Conversation on career fair - I liked it. It had his students talking about the fair, what to expect, what they need to know etc. 

Activities - I like the review of content, making sure that the students have a good grasp of what was taught. There were only two students, and it seemed like only one was really participating while the other would stay on his computer and chime in once in a while. That is not SIL's fault, but I do think there could have been some ways to have both students participate in the activities.

Closer - Pictionary was fun! The students had a good time, and he made it content-based as well, so it was a little review of what was covered in the session","I think he has good conversations with his students. They feel comfortable asking him questions, and he showed his personality during the session. He asked questions that ensured understanding, and chose people to answer certain questions to make sure everyone knew, and it is not just one person answering the questions.","More collaboration from students, making it more student-led than SI-led. In the beginning, it went well with that, but as we went throughout the session, it felt a little lectury with only the SI leader writing things out, and the students' answers/asking questions.","Consistently asks his students questions to make sure they understand the content. 
Facilitated conversations with the students and was engaging. 
Had some time at the end for Q & A (didn't have to be content based) - I really liked that, I never thought of doing that","Great session! I am an SI leader for General Chemistry, so it is cool to see how a different session would go that isn't chemistry-related! You did a great job making sure that both students understood the topics, and you did a great job asking/answering questions! The career fair opener is a great way to open the floor about questions or concerns about the fair, since many first years don't really know how to go about that.

For improvements, it could be a little more collaborative. I am not in econ, nor do I know if this is how a usual session goes, but I do think that maybe having the students draw out the graphs or have you draw the graph and have the students fill it out would be a great idea!

Also really liked the Pictionary and the Q and A! I will definitely use some of that for my sessions :)

Great job today, I'm so happy I got to observe!"
,"The opener was great! It was really fun and festive for the students to get into the Halloween spirit :) The candy certainly elevated the festivities too! I liked this session a lot and it seems that the students were really engaged! I felt like the spirit of SI was present in the room because of the collaborative environment that was created. Overall, really great session :)",I liked how the SIL broke the students up into pairs and had them work together on problems. It really encouraged students to help each other rather than relying on the SIL! The SIL also did a great job at asking clarifying questions to check for understanding. The room was also nicely arranged to create a more collaborative setting which was really nice. ,"I noticed that the SIL was starting to lecture a bit (the SIL speaking more than the students) which could have been partly influenced by how the session activites were structured. Ideally, the students should be doing more of the talking/writing; the students that know the answer should also be encouraged to teach struggling students. Otherwise, no other suggestions for improvement come to mind!",The SI leader did really well at redirecting questions when students were stuck. I noticed it helped them get to the answer. They did great at creating a welcoming atmosphere for students to come learn. I also liked that the SIL used examples from class to help guide students to the answer. ,"Overall, really great session :) The activities you planned were really content-rich and engaging. It seemed like the students got a lot out of this session! You are doing a really amazing job and I can tell that you really enjoy what you are doing. "
,"Opener: pretty good, this was a fun way to break the ice

Activity 1: mini recap, this was really good! Everyone participated, and there were good guiding questions. Redirected questions to other students who understood and could explain it. They went around and helped lead students to find the answers on their own by writing them out and having them explain them. Then, pausing to double-check some things and showing them a different way to think about it. They then had the students explain it to one another, where they caught their own mistakes. They asked questions to check for understanding. Then, once they explained where the student went wrong after they got stuck, they had them reattempt the question and had them say what went wrong before. Did eyes close 1-5 for understanding?

Activity 2: Students discuss together and write out different questions about polarity. Redirected questions to other students. Positive reinforcement and wait time for other students to finish. Did a good job with wait time and letting them answer. When everyone was stuck, they did a little demonstration without saying the answer, and the students got it. Beautiful mind map to help visualize content.

Activity 3: What type of bonds: they had a student come up and write out the ranges. Great wait time and calling on students when they knew they could answer. Everyone participated equally, which was nice to see. What they notice from her drawing. This was such a creative way to recap and have them point out things they have learned and show their knowledge about this. They ended at a spot to pick up next time, showing repetition spacing!

Closer: High, low, buffalo (good, low, random): grow community connections and see what is going on in everyone's life.","They welcomed everyone in and talked to them before the session, getting to know them. They divided in a way to help make sure everyone understood. They joked around and made the space feel super safe. Good positive feedback and encouragement. Gave compliments, encouraged students who were hesitant to answer, and had fun little graphics to break up the content. ","You could ask them how they feel before an activity on the content to see the difference. A bit more confidence, especially in the first activity. ",They did a great job with redirecting and letting students work through their questions. ,"Killed it!! This was a great, super chill session. I could see moments where each student had their aha moment and learned something new. You did such a nice job having them solve their own questions and explain their work!"
,The opener was spooky birds. I think that Emma did a really good job of getting the students engaged with this and they were all excited to get up to the board and get working. I liked the nature of the first activity and how there was a document sent out that had students working on finding different vocab terms (kind of jigsaw style). This is a really neat resources because she is having the students build a study sheet together that then they can come back and utilize in the future. Emma then moved into a worksheet over different topics that were talked about in class. The closer was a quick little check-in form and I liked how this was digital because it allowed students to answer more truthfully and everyone could give their input!,I think that Emma did a really good job of floating around the room while the students were working on small group/partner work activities. She was always available when students had a question or needed help.,"Since this was a worksheet-heavy session, the students had a tendency to turn to individual work, even though they were told to work with a partner when handed the worksheet. I know that this is very normal for students, but one of my favorite strategies is to give each pair only one worksheet, so that they are forced to work together instead of turning to work by themselves. After the session, the correct answers and completed worksheet can be shared with them so they don't feel like they are missing out on the handout. "," Emma did a really good job of redirecting questions and making sure that students understood all angles of the correct answer. I really liked her comment where said said ""I see that you guys got the right answer, but does anyone actually understand what this means and why it was correct?"" This way of forcing the students to elaborate on the topic and share everything that they knew was really creative and I liked it a lot. Simple comments like this go a long way!","Overall, this was a really great session! I think that Emma did a great job of planning a variety of activities and really harnessing the three pillars to make sure that her students understood all of the concepts thoroughly. Emma did a super awesome job!"
,"Opener: The game they played together is really nice; it got the students to open up and get talking before jumping into serious content.

Activities: Did a nice job of going through all of the practice problems and using wait time to cultivate more response from students, but can do a better job at checking for understanding. For example, having the students explain the topic to one another, even after the problem was solved.

Closer: Nice job reviewing what they went over. They should test for understanding again at the end.",The SI Leader fostered a comfortable and productive learning environment they were not disregarding any attempt at problems and getting student to think through problems as well even when they were stuck.,"The SI leader did a good job not just answering straight away, but also discussing why the students arrive at their conclusions. If the students do not arrive at the correct solution, trying to move them in another direction could be improved. Also, can ""hype up"" those students a bit more when they get it right.",Having them practice many questions and increasing the difficulty as they went from problem to problem to solidify their understanding. This gave the students lots of practice and exposure to many different issues they can see.,SI leader did great cultivating a good learning environment and had good content for students do to. Try implementing group work there was a lot of solo work that can done together and making group activity games involved with the content so they can get more interested and involved with that they are learning.
,"The opener was a random discussion. It gave the students a nice transition into the session and the following activities were clearly peer-led. The students were all active and attentive, although they often got sidetracked. The closer was a kahoot recap of the lecture with examples and practice questions for the students to do. I thought the kahoot was a nice touch as it was something that even I- with very little coding experience, could follow.","The SI leader has done a great job creating a comfortable and energetic environment, as the students are clearly comfortable being themselves during the session. 

","One thing the SIL could work on improving is keeping the session on track and reeling the students back in when they get sidetracked as they tend to go on a tangent, as well as having backup activities in case they planned activities take a shorter time than intended.
","The SIL clearly explained what the students were doing well while writing the code, and had the agenda projected on the screen for the students to see. The SIL also allowed the students room to figure out the answers for themselves and didn't step in whenever they were unsure. Chris did a very good job of facilitating a space of collaboration among the students.
","The students were easily distracted, but although they weren’t as focused, the SIL tried to keep them on track to offer a productive session. However, to improve productivity, I would suggest minimising the side conversations, or have a time put aside for random chats so the rest of the session could be used for the actual academic-related activities.
"
,Nice opener and closer where he tries to know his students better,"The session was a no show but according to the session plan the SI leader seems to give the students hints, show them easy examples to better learn concepts",Attendance. Most of the sessions are no show . He can make his emails and announcements in class more attractive to students e.g. arranging free snacks for students in session and tell them to walk in with their doubts about maths and get those solved with the help of the SI and their peers,"I liked the lesson contents he made, it could have been informative for students if they attended the session","Nice session plan and course content , it was interactive, informative to be used as efficient peer learning. Try making the emails and announcements more engaging to attract students . It’s great that the SI interacts with the students during workshop in the class but the student might get the benefit of SI inside class , making them reluctant to attend the actual SI session. Overall the SI leader seems to be really humble and helpful to the students ."
,"I think the opener was really fun! I haven't really used them in my session but I love any Wordle-ish games as openers.
The slideshow for the syscall discussion looked good.
The closer seems like a good way to focus on note taking strategies and give students an idea of what works for their peers.",N/A (no-show),"I don't have any ideas, I think that the session looks really well planned out and it had a variety of collaboration methods (mix of discussions as clusters/small groups and as a big group).",I think the activities this SI Leader had planned were really good and would be helpful based on how much we covered these topics in lecture. I really liked the syscall discussion slideshow. It looked good and I think it would be a helpful tool for leading the discussion.,"I think this session plan was really good! I liked the syscall discussion slideshow, it seems like it would be a good way to lead that discussion."
,"I liked this opener! It got everyone talking and working together and it was nice for them to see an example. 

Activity: multiple choice content quiz practice, they can use their notes but should do it on their own and then discuss with someone next to them. Went around during it and asked them to explain part of the question to check for understanding. I did not see them talk to another until after everyone was stuck and was guided to. They were told they could write it out on mini whiteboards, which is a good idea. The SI walked around facilitating between the two groups and asked how they were doing, what they got, and how. Did heads down and hands up for how confident people felt. 

Changed it to be group questions. Asked redirecting questions towards students who know the material more. Had them repeat how it was explained back to everyone. For one question they gave different people different markets and then had them go up to the corresponding part of it on the board that matched the markers colors.

Closer: K-W-L this is a great choice especially right before an exam because it allows the students to like brain dump what they learned and know what they need to focus on more. Also had students rate how they felt on a scale from 1-5.","Talked to them before the session, asked how they were doing. Had a fun opener with an example. Gave guidance and hints when they were stuck to help them break down the questions being asked (asked what precipitation is). The SI leader walked around the room, giving students encouragement and telling them that they are proud of them. ","I know this is a quiz review, and I'm not that familiar with college chemistry, but I think there could have been ways to do two different content activities still. Like a Kahoot or something on paper.

I also feel like a lot of the same people were answering or got called up to the boards. Everyone was participating in groups, but I think really pushing them out of their comfort zone would have benefited them.","I really liked the way you checked for understanding by asking them to define the thing they are trying to create using a combination of elements. Then, when they had the answer, you asked them to explain why they thought that to see how they got their answer. ","Great job!! I like the incentive that if they attend over 4 sessions, they get a bonus at the bonus exam. That is a nice way to make sure they don't just come to the sessions right before."
,"I like the opener simple and nice, good questions for breaking the ice. Overall, pretty good activities, I really like how the activity where they explained each other concepts that are assigned to them as a group. It was a good reflective closer as well, makes them think about what they learned this session.","When the first student came, the SI leader asked how their weekend went, which breaks the ice and talked a bit about movies together, which creates a comfortable environment for the student. When the second student came, he integrated the student pretty well into the activity they were doing.","When a student asks the SI leader a question, I feel like he could've redirected the question to the other student.","I like how he had a pretty good way of interacting with the NTID student, he wrote his guided answers for the student and helped him find the answer. He also urged the student to help each other to find the answer which is pretty good. ","Overall a great session! Maybe instead of saying ""does it make sense"", you could try saying ""do you have any questions about this {topic}"", so that it gives students a chance and space to ask further questions. "
,"Opener: matching game with facts to see what students understand about MVT and Rolle's Theorem. This was beneficial because it allowed the SI leader to ensure that they understood the content being covered today. 

Activities: 
1. Started with graphing - finding the secant line, and found other ""things"" on the graph. This was a really good activity and the students all worked on the questions together. 

Closer: Didn't have time to get to it, but was going tobe asking the students if they have any questions. ","SIL was really calm with the student and asked a lot of questions. Dawn never gave the students answers, but made sure to ask all students questions to make sure that they understood the material. ",Some of the students seemed to get a bit bored since it was mostly one person writing on the board while everyone else just watched. You could try getting more students involved by having them take turns writing or explaining their steps instead of the SIL doing most of it.,"checking for understanding - SIL did a really good job with making sure that the students understood the materials. 

redirecting questions - making sure that more than one person answer questions and writes things on board. This also allowed the students to make sure they understood the why behind the concept. ",SIL did a great job; it was a lovely session to be in. 
,"The opener was engaging and effective — the warm-up activity helped students get focused and ready to think critically. The use of the cheat sheet idea was creative and helpful, especially since the SI Leader modelled how to use it effectively. The activities were interactive and well-structured, with a good mix of understanding and higher-order thinking (HOT) questions. The closer was good, the SI Leader asked students feedback on what material do they need to go over for exam-2, so she can create exam review packet. ","The SI Leader interacted positively with students by asking frequent questions to check for understanding and by redirecting questions in a supportive way. They broke down complex concepts into smaller, manageable parts, which made it easier for students to grasp the material. Their approachable attitude and encouragement created a comfortable atmosphere where students felt confident participating and sharing their thoughts.","One area for improvement would be to walk around the room more while students are working. This would allow for more one-on-one interactions, help identify where students might be struggling, and keep everyone engaged during group activities.",The SI Leader did an excellent job structuring their questions to promote deep thinking. The balance between understanding questions and HOT (Higher Order Thinking) questions encouraged critical thinking and class participation. They also excelled at breaking down difficult topics so that all students could follow along.,"Overall, the session was well-organized, engaging, and student centred. The SI Leader demonstrated strong communication skills and created a positive, collaborative learning space. Continuing to move around the room and check in with different groups would make the sessions even more interactive and effective."
,I like the opener because it was an opening discussion about what everyone remembers from class. He did ask how everyone's weekend went but no one really talked about their weekend. ,"SIL asked his students how they're doing, if they did anything this weekend. He fostered a very comfortable environment. Everyone got into groups and seemed like they already knew each other. ",SIL could work on making more unique openers and closers. The opener and closer was just a discussion and they were pretty related to the class. I would plan an opener/closer with the goal of making them more fun. ,SIL was really good at helping his students when their stuck an appropriate amount. Also a strength of Haroon's is that he's very easy to talk to.,Plan a little more content for your sessions. We kind of ran out of stuff to do. 
,"Opener - SIL asked the student about how the felt their exam went. the student was open to talking about their struggles with the course and what thy felt comfortable with doing. (by this point there was one student but more people showed up over the course of the session)

Activities - the activites went very smooth and could be tailored to the specific student's need. A problem would be put on the board and the students had to manually write functions. each student had to contribute to the making of the code, and critique each other's answers.

Closer - Q and A, for the closer he asked the students if they had any questions about what they just went over and what is being done in the class. it was a simple closer that nicely followed the activities.","All the students felt comfortable talking with each other and collaborating on solving problems. SIL did a good job at making sure everyone contributed, and never felt bad about getting something wrong.","I would say that the one thing he could improve on is activity variety. This is something I also need to work on, and for specific subjects it is very challenging to find activities that work for the subject and also feel different to each other.",SIL was great with redirecting questions and giving students clear instructions.,"I would tell them the same thing that I felt they should improve on, more activity variety."
,The session was a little unique because one person showed up. The opener was sort of skipped or rather is was quick. It was going through some slides. This was a good review of course material. I think it would have been helpful to have the students involved in the opener. The activity was catered towards the individual student. This was a good idea. The activity was practice problems. The activity works well for any subject. 2 truths and a lie was a great closer. I learned a lot from that. ,The SI leader was very kind towards students and started the session with a fun fact which was nice to see. The student did seem quite comfortable. The SI leader also asked the student to come up to the whiteboard which fostered a productive learning environment. ,"I believe it would have been very useful after helping the student solve a problem to have explain their solution from the start and thoroughly. Almost like a presentation. For longer questions, sometimes the students forget how they got to where they are. ","I like the SI leader sometimes told the student to take a step back. This can be very useful if a student falls down a rabbit hole. I should do this more. It can be good to quickly correct a student if they're doing something wrong. This also saves time. This type of guidance is really helpful, your almost organizing your students thought process and catching them when it goes in the wrong direction.","I really liked the format you had for your session. You went through some brisk review for a minute or two where you did most of the talking. Then you had the student do a practice problem where you assisted them a lot. And then you sent them off on their own to do a problem and only ask for help when needed. This works well.. You are also a master of the content, its clear you understand it well. One thing that could improve is having the student explain their work or the solution more often. Or at least at the end. If there's a long, complicated problem that I'm helping a student solve, I like to ask them to explain the entire thing to me from the start. I judge a student's understanding of a topic based on how well they can present it. I find that to be very useful and it is something that would fit perfectly into your session. Another tip that might be useful is instead of telling them what they did wrong just circle it or allude to it. Sometimes that works wonder for their understanding of the topic.  "
,"The opener could have been more interactive, but it was a brain teaser, so we were pretty stumped. The activities that were content-based were good and allowed the student to show his skills. Closer was good and fun.",They made jokes with them and really allowed it to be peer-led. It also made sure they knew they can use their notes. ,Explaining the actual content. There was something he could have done differently or explained it in a way to make more sense. ,"Interacting with the students and maintaining focus on the topic, without straying from the content. He did well on getting both students to participate in the activities. ",Just explain things a little more. Be a little clearer on what you want them to do.
,"For the opener, SIL asked the students about what they want more practice on, which got the students talking. This is a good way to get feedback from the students and identify knowledge gaps. The main activities consisted of many calculus problems, finding local minima and maxima and approximating the graph of a function. The closer was super fun, guessing football players from a picture.","The students were very comfortable throughout the session. During problem solving, one person was always writing on the board, and the others were there to help if needed. SIL redirected questions, making sure that everyone was engaged. Wait time was also used, as a way to give students the time to think, without giving away the answer.","After finding the x values where the graphs were not defined, SIL could have demonstrated using a graph, that the slope is vertical at these point. This would help build intuition for the students.",SIL had the students research the mean value theorem and rolles theorem and explain it by sketching a graph and showing it to the other team.,"He could have prepared something more collaborative for the main activity. While one student was on the board, the others were sometimes side tracked or on their phones."
,"Very chill opener! They played a wikipedia game in small groups. Class content braindump, Isaac asked them to the recall what they did in class and he would write down when they said on the board making a small concept map/flow chart. The braindump into a discussion on the material was done very well as it built off of the knowledge the students were lacking. Great use of the smaller white boards! The room was set up very well fro a group discussion.",The students and the seemed to be very comfortable working together and collaborating on activities! Isaac actively included everybody in the activities even those more reserved. Isaac congratulated them on their correct answers and redirected questions to the rest of the students when they needed a little help!,"Maybe let the students use the markers more instead of writing all of the students ideas yourself. Also, just be more careful with the time you have for each session and make sure you don't go over! Aside from this everything else was very well done!",Isaac did a great job with his redirecting questions and giving the students enough time to think about their answer before answering (Wait time). You did a very good job on calling on the students that weren't as openly participating to make sure everyone participates in the activity. I like the way you used variations of the questions to started with to check the students understanding for specific scenarios!,Great session overall! I love your use of the group discussion strategy to get everyone participating! You had great wait time and redirecting question to other students. You created a great environment for the students to learn and comfortably share their ideas! I liked your way of checking for understanding by asking the groups questions about different problem scenarios. The only things I would try to improve are letting your students lead te session a little more by giving them the marker and and being more mindful of the clock! Great job! 
,"Opener - I love spotle! Such a great opener to get the students to think, and it also got me a little involved as well lol. I will definitely steal this for one of my sessions.

Activities  - List comprehension: I don't know much about comp sci, but I liked that he got the students up and working on the whiteboard
  Kahoot: great way to test their knowledge and ensure they understand the topics covered!
Practice questions: backup activity in case the other activities were to go faster. Great way to reassess their knowledge! I liked that he had it ready to go rather than scrambling for another activity to do before the closer.

Closer - They ran out of time for the closer, but they had great practice of the content and conversations about the class!","Very welcoming with his students! Before the session even started, he got the students to talk about their classes, the exam they had, which sparked up conversations between him and the students. The students aren't afraid to ask questions, and when a question is asked, he uses his redirecting skills before answering the question himself. He also made sure the students understood the topics covered by asking further questions and playing games to test their knowledge.",It was a great session! Not really much to say otherwise :p ,"Great activities and a great job redirecting questions and assessing their knowledge! Also, I like that he had extra activities planned in case the other ones went faster than expected.",n/a :)
,I like how the SIL was able to immediately gauge the level of understanding from the opener and keep it in mind when continuing with the other activities. I also liked how during the activities he kept asking questions to provoke thought and would redirect questions when appropriate. He managed a balance of having the students work by themselves and work together. He did this by having them take turns or describe the code written by another student. ,"The SI Leader started off the session with a writing down things you know, which helps allow him and the students to feel the environment of learning. He continuously upkept this environment by asking questions and giving students a launching point for the activities by writing a few lines of code or defining the goal of a function","I felt the SI Leader was a bit more lecturing than student led collaboration, however It was clear on some of the topics the students did not know the topic very well if at all, so It worked in the end.",The SIL did a great job at helping the students feel more confident by redirecting questions and ask questions to the students when necessary,"Amazing Session, I could really tell how helpful you are to the students. The agenda on the board gave clear and distinct information about what the session is going to entail. I also enjoyed how the students got involved and your questions to them seemed to be exactly what they needed to give the full answer, but without your question giving any information. The opener was a great way to gauge the level of understanding of the students!"
,"I think the activities were a bit same-y, being just ""answer what this code does"" in the same format. Understandably it was more of a review session, but I think it might be more interesting to have different ways to check for the students' understanding. Though if that's what the students like, then that's fine.","There was only one student so it's a bit hard to comment on how he would conduct a group session, but I like that he's able to form a connection with the student and chat with them right before the session and then moving into the classroom with them. He seemed to match with the student's mood and personality well.","He could consider coming up with activities that are more collaborative in nature, so anything that requires there to be at least 2 people working together.","I think he did well with checking for understanding, which seems to be the main theme of the session. The activities were definitely meant to probe for their understanding, and he was also often asking student small chunks of questions.",N/A
,"Steven’s opener was really engaging. By asking about the exam that happened today, he built an immediate connection with the students and made a welcoming tone for the session. The activities were very nice in my opinion as tthe students were really engaged and weren’t afraid to ask questions. The closer was a great way to wrap things up and check in on where the students are after the session.","Great use of wait-time by Steven, he dropped hints to guide students toward the answer when clearly the students are getting no where. He also drew visual python lists that directly related to the topics students struggled with on the exam, and he used gentle redirection to get participation from everyone.","This is a small nitpick, but I would recommend writing the agenda on the board just in case some students arriving late know what’s happening. ","Steven did an really good job adapting to what the students needed in the moment. His use of visuals, guiding questions, and wait time show he was really paying attention to where students were getting stuck and adjusting his approach to support them.","Very nice session overall. You created a supportive learning environment, kept students engaged, and responded thoughtfully to their questions. Your sessions are clearly helping students feel more confident with the material."
,"Opener: Derivative Rules practice
Good to drill these. I wonder if it's worth the time though if the students are confident with this. Have you seen your students improve their recall over the semester doing this repeatedly? 

Activity: Concept Map
Write conditions for two theorems
Didn't always catch student's mistakes or was confusing e.g. allowing 'f(x) is continuous on (-inf, inf) therefore...' while MVT does not need continuity on (-inf, inf) 
Good guided questions, Rolle's theorem difference to MVT
Asking students to refer to notes is good 
I feel like you could have had the student do more work like when explaining using graphs

Activity: Continuity Review
Good connection to this material. Students def need review of this unit during MVT study.
Letting students work through their thought process is good 
Allowed students to cross-check answers and helped after they didn't catch mistakes
I think you could allow students to draw graphs/etc. 
Time sensitively moves on that's good

Activity: Practice Problems
Allowed students to work out solutions on their own 
Pretty good collaboration between your students ","Casual interaction & small talk throughout the start 
Asking about confidence in the class/struggles is always helpful to make students feel comfortable
Students comfortable joking around","Allowing students to work through their thinking on more theoretical parts like theorems or conclusions (where c goes, what cot is, unit circle)",Fostering collaboration between students and allowing them to think during work and also managing activities/timing was great,Super good work! Great session
,"The opener was ""birds"" and she had her 2 students draw on the board. The students seemed like they were having fun for they were giggling the whole time.

For the main activity, I like how she asked her students whether they want to practice graphs or equations. That way she hits the areas that the students need the most. She was prepared for both. I think she did a great job of having students think through the problems, instead of just giving them answers.

Sydney ended with wordle. It's a fun New York Times Puzzle game and it was a great way to destress after the sessions.","Sydney started the session by simply asking her students how their day went. I thought this was a great way to bond with her students. She was very attentive throughout the activities, she stood right next to her students. She was always available but she never did the work for them.",N/A,"She asked great guided questions, to get students to explain their reasoning for the steps that they took.",Great Job!
,"Opener - Good review, got the student involved in review in a gamified way

Activities - Rapid-fire multiple-choice questions were great to review conceptual material followed by whiteboard code to solidify practical knowledge. I think this was an excellent template to follow and transitions smoothly

Closer - Left time at the end for personal questions as well as a checking for understanding section",The SI leader redirected questions excellently and tried their best to make the student feel comfortable tackling concepts they didn't understand very well. ,"Wait time could be expanded upon, like letting the student try to figure out the answer before simplifying or giving it to them","Writing an agenda is a very practical as well as whiteboard coding to make sure the student understands the code on a conceptual level instead of just practically. 

The leader also left ample time to review any topics the students might have to make for a more tailored session. ","It's tricky dealing with students who might not know certain concepts and at times you might want to just give an answer so you can move on with your session. I'd suggest maybe trying to simplify certain questions or giving examples they might be familiar with to try and nudge them in the right direction. 

Overall, the session was great and I think leaving enough time at the end was a phenomenal move as it's something I struggle with myself. "
,"No opener or closer for this session.
Love triangle - a math problem centered around a love triangle involving planes. Some planes only like other kinds of planes and the students had to calculate if there were any love triangles in the group. 4 students came up to the board and were doing a nice job writing individually but also helping each other. 2 other students stayed in their seats. This took about 30 minutes so I'm not sure there was an opener.
Kahoot - (3 students left before this) There was a long pause before starting this activity and I was a little confused about what was going on or if the session was over. There were definitely some missed opportunities to redirect questions and check for understanding.","Chris did a great job working with students and encouraging them while they were working. They clearly like him and everyone was joking around. Definitely a positive and fun, yet productive environment. ","No agenda on the board- I walked in 1 minute late and didn't know what was going to happen. Also making the two students who were just sitting participate more. It seems like they knew the material, but they should be participating more actively if they're attending SI. ",Chris had a good balance of having students figure things out independently and knowing when to step in and redirect them. ,I think Chris could benefit from being a little more assertive and organized in session. Students seemed to sort of just be doing what they wanted. The session seemed somewhat helpful for students but I didn't see much of the SI model being used. 
,The opener (Guess the Movie) was strong but definitely made for a larger group. The first activity (Create a Map) was really good at incorporating the content of using graphs to find concavity and the students had little to no difficulty understanding how to do the activity. The second activity (Find Your Treasure) allowed Jhoelle to take time to clear up concerns that another student had while the other was able to work at a somewhat faster pace.,"Jhoelle has a great relationship with her students, making it easy for them to start engaging in conversation and ready to dive into the activities. Some of the student's conversations might create distractions from the content, but Jhoelle does an awesome job redirecting the students back to the activities.","Potentially consider letting the students use their notes when using specific terms (points of inflection, critical points, concave up/down, etc). This would make sure they are demonstrating the material correctly or able to fill in any definitions they might gain during the session. Also don't worry about not getting to another activity if the students seem to be struggling on the current one!","Jhoelle did a great job keeping the student's engaged and focused on the material. If a student had a question, she did a really great job of utilizing it to check for understanding and have another student answer the question. I also liked the range of activities and that there seemed to be no wait/set up time taking away from the session. ",Don't be afraid to not get to an activity if the students want to focus/have questions on the one you are currently working on (essentially don't rush). You can always reuse an unused activity in a following session!
,No opener but wrote activities on boards. activities were very collaborative and involved all students. ,Yes he has a very good relationship with students they were able to stay on task and be productive ,Possibly having an opener to segue into math topics. Also when they were going in the wrong direction he took a but long to say something so maybe saying something or asking a question to help them realize their mistake.,Good at redirecting questions and asking for explanations on the steps they took to solve the problem ,"Overall, very good session! "
,"I thought the opener was a fine opener, it got the people engaged and talking with each other. I think the activates were good, with a good mixture between busy-work for the students to collaborate together, doing individual work for the students, and facilitation from the SI leader. It was a mixture of sheet-handouts, board work, and a sort-of slides gameshow. The closer worked well in ensuring the session was closed and still gave students ample time to work with the SI leader.","They were actively engaged with the students, handed out material, ensured that all students were included and encouraged people to talk with one another, and gave plently of time for questions and help.",I think there may be better opportunities for redirecting questions when going over the answers to material.,I think they did really nicely in ensuring the students had everything they needed related to the activities and had excellent report with making a comfortable environment.,"I think it was a really good SI session, it's obvious that the students had a good time and were comfortable and included. It also seemed they had a good rapport with you, and I think had a fantastic time with a positive impact."
