,Class that the SI Leader Supports,Number of Students in Attendance:,Which portion of the session did you observe during this walkthrough?,"While observing the session, did you observe any of the following? Check all that apply.",What did the SI Leader do well?,What could the SI Leader improve?,What yellow/red flags did you notice?,What did you discuss with the SIL?,"If the SI Leader ran an activity for you, what were areas of strength and for improvement during that activity? (Please also put notes on these areas into their observation/self-reflection sheet.)",Additional Comments:
,ECON-101,2,Middle,"SI Leader is prepared for the session, SI Leader had an agenda on the board, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), Time is managed effectively, Powerpoint is kept to a minimum, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader discusses, promotes, or models effective study strategies, The SI Leader sets a tone that is both comfortable and productive, An opener and closer were included","I came into SIL's session right after his opener (birds!!!) finished. One student was starting to identify the shifters for supply and demand. A few moments after I walked in, another student arrived and immediately jumped in to collaborate with the other student on identifying the shifters - this was awesome to see! Also, something I love about SIL's  sessions is that he is always so attentive to his students. In today's session, he was sitting down with them at the board and helping them through the activity. Doing this made the session feel more chill and fun, rather than if SIL were to be standing up at the podium at a distance away from the students.  All of SIL's activities that he had prepared for the session seemed super fun and I wish I could have stayed!",Rylan is such a great SIL and I really didn't notice anything for him to improve on during the portion of the session I observed. You have grown a lot since you first started with SI and it makes me so happy to see you thriving with more attendance this semester!! Keep up the great work.,,,,
,MATH-171,1,Middle,"SI Leader is prepared for the session, SI Leader is approachable, All students are engaged/involved in the session, Time is managed effectively, Powerpoint is kept to a minimum, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader discusses, promotes, or models effective study strategies, The SI Leader sets a tone that is both comfortable and productive","The SI Leader ensured the student was the one doing the writing on the board and only took part in the activity when the student had some questions. He gave some notes on how to improve answers and asked questions to help the student find where they made mistakes instead of just giving the answers themselves. Activities ranged from practice problems (draw the graphs) to discussions (with questions related to specific topics). This is a great way to show the students the range of ways they can study.
He also checked for understanding by asking ""why"" or ""what"" questions during the discussion to make sure they completely understood the topic and to hint to solutions during when the student asked him questions. ","Make sure to put the agenda on the board. When students are unsure about something, in addition to asking redirecting questions, the SI Leader could also ask them to look at their notes. This will make sure the SI Leader isn't giving too many hints and allows the student to connect the dots themselves. ",,,,
,MATH-171,5,Opening,"SI Leader is prepared for the session, SI Leader had an agenda on the board, SI Leader is approachable, Powerpoint is kept to a minimum, SI Leader checks for understanding among students, The SI Leader discusses, promotes, or models effective study strategies, The SI Leader sets a tone that is both comfortable and productive, An opener and closer were included","The SI Leader tried to make sure the students sat all together so they can collaborate well. The students seemed very comfortable in speaking and collaborating. She did not force the students to speak which made them more comfortable. She also let the students know about the bonus session which is a very good way to market.
She asked them to pull out their notes and asked a lot of redirecting questions during the mind-map activity. She made good use of wait-time at times after asking redirecting questions.","When doing a mind-map activity, she was drawing and writing out the information on the board herself. It would be more collaborative if the students were the ones at the board drawing everything out and discussing so they could also use active learning to remember the content themselves. When time started to run out, there was more lecturing instead of allowing the students the discuss and figure things out. Instead, she could either adapt her activities to give this one more time or if another activity will be focusing on the same topics later, cut the activity short. 
She could also try to get the students to sit at the tables in the front so they are closer to each other and the board. The students in the back were less engaged in the activity.",,,,
,CSCI-243,2,Middle,"SI Leader is prepared for the session, SI Leader is approachable, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), Powerpoint is kept to a minimum, SI Leader checks for understanding among students, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader discusses, promotes, or models effective study strategies, The SI Leader sets a tone that is both comfortable and productive","The SI Leader had open discussion to go over solutions to problems to check for students' understanding. There were different activities ranging from ""guess the output"" to matching to ""find the order"" which shows the students a good range of ways the students can study the content. The SI Leader provided a nice environment for discussion during activities. She did a very good job of giving positive feedback when they did well.","Make sure to put the agenda on the board. To ensure all the students participate, she could try to have them switch out who's writing on the board. ",,,,
,MATH-171,0,No-Show; One-on-One Coaching with SI Leader,,,,,"Marketing that works well for you vs what they're trying, Strategies to connect with students, Talk about what their session plan was and provide feedback (positive and constructive), How to collaborate with their professor to promote SI, Weekly emails","The session plan was very well-rounded with a content-related (but also really fun) opener, lots of practice problems (which show a variety of ways to go over the topic), and a fun closer. I could not see any problems with it or anything that I would improve. 
[See Dani's notes for further details.]","We spoke about marketing. I talked about sending session activities/solutions to students as an incentive to come to sessions. It seems she is already trying to get other marketing materials. We also spoke about talking to the students again to give more details about sessions and talking with the professor to have them remind the students of the sessions more often.
[See Dani's notes for more details.] "
,Math - 101,0,No-Show; One-on-One Coaching with SI Leader,,,,,"Marketing that works well for you vs what they're trying, Strategies to connect with students, Talk about what their session plan was and provide feedback (positive and constructive), How to collaborate with their professor to promote SI, Weekly emails","The session plan was well laid out, and the SI would have had the students interacting often. In particular, I like how there is an almost monkey-see, monkey-do action with the plan. In the first half, they had to solve problems where students would write one step or go backward a step if the group felt they were heading in the wrong direction, then in the second half, they would make their own problems and solve them as a group. To me, the session would have promoted collaboration and even studying habits (making their own problems), which I thought was great. If I had to nitpick, maybe the opening and closing could have been a bit more involved, but I felt the content itself made up for it. Overall, great session.","For marketing, we discussed different strategies that could be used to promote the session. It seems like there are no exams, and quizzes are online, so marketing for the students has been tricky. With that being said, the SI is doing an amazing job at marketing; he's promoting the sessions during class, emailing everything, using marketing requests such as candy, and even has the professor marketing the SI sessions in class and on the course site. The idea of more long-term marketing was discussed, such as cheat sheets/study guides or more physical things, such as rubber ducks or mugs, via marketing on the website, being used as a reward system."
,Math - 101,0,No-Show; One-on-One Coaching with SI Leader,,,,,"Marketing that works well for you vs what they're trying, Talk about what their session plan was and provide feedback (positive and constructive), How to collaborate with their professor to promote SI, Weekly emails","When running through the session plan, I particularly liked how involved the students were. At the start, the students interact as a class for worlde, then break into groups for tic tac toe, then go into a more individual self-reflection with a Kahoot at the end. In particular, when going through tic tac toe, I like how students had the ability to pick their own questions, which allows them to gauge where they felt comfortable. 

Strengths: As we were going through a problem and I was confused on a part, the SI didn't outright tell me the solution; the SI gave alternative ways of explaining it, and gave me follow-up questions after I figured it out, making sure to check for understanding. 

Areas of improvement: Nothing too much to say here. The session was laid out well.","For marketing, we discussed different strategies that could be used to promote the session. It seems like there are no exams, and quizzes are online, so marketing for the students has been tricky. The SI is doing his emails and promoting sessions in class and via the professor, which has been helpful in promoting. The SI could perhaps use more marketing requests in the future, such as candy or other rewards (for example, rubber ducks)."
,CHMG - 141,13,Closing,"SI Leader is prepared for the session, SI Leader had an agenda on the board, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The SI Leader sets a tone that is both comfortable and productive, An opener and closer were included","I really liked how the SI used all aspects of the class. Whiteboards were used for student interaction, the class was set up for groups, and the screens were used to display the content to the students. 

Used wait time when the students were confused. In particular, I liked how the SI would redirect the question back to the groups for them to discuss and see if they could figure out the question first. When the students did get the answer, check for understanding was applied by asking the students to explain their reasoning, and a follow-up question was provided. 

Students felt comfortable asking questions and interacting with each other. 

Promoted future sessions and had reminders when everything was finished. 

To really highlight something, I really liked the use of groups, as it helped promote a friendly atmosphere and gave the students more time to talk about and understand the material instead of just answering questions.","Maybe walk around a bit more to get a feel for how students are feeling while they are actually discussing the questions. It was a little hard to gauge how individual students felt about a question. That group discussion time is a great time to interact with your students and understand where they are at that moment. Especially with a session that size, getting to speak with the students more individually can be important. 

There wasn't too much checking for understanding on the Kahoot questions due to time. Perhaps in the future, the SI might want to keep a closer eye on time during the content portion.   
",,,,
,GCIS-123,1,Middle,"SI Leader is prepared for the session, SI Leader had an agenda on the board, SI Leader is approachable, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), Time is managed effectively, Powerpoint is kept to a minimum, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader discusses, promotes, or models effective study strategies, The SI Leader sets a tone that is both comfortable and productive, An opener and closer were included","When I walked into the room, SIL and the student were working on solving a code on the whiteboard together. Because there was only one student present at the session, it was difficult for the student to collaborate with others, but SIL collaborated nicely in a way with the student to where he was guiding her in the right direction. 

SIL did a great job of checking for understanding by asking the student to repeat the steps back to him and providing check marks next to each step of the code. He also checked for understanding by checking the code that they were doing on the board in Python on his laptop to see if there were any errors. I also liked that SIL used many redirecting questions when the student was super close to the answer, but still had a little bit to go.","The portion of the session that I observed was really strong. It's hard to plan for collaborative activities and then have only one student show up, but I think that you did a great job with the student. Your checking for understanding and redirection was really strong and I hope that you have more than 1 student in future sessions so you can have them collaborate with each other vs just you working at the board with the student :)",,,,
,MATH-171,4,Middle,"SI Leader is prepared for the session, SI Leader had an agenda on the board, SI Leader is approachable, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), Time is managed effectively, Powerpoint is kept to a minimum, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader sets a tone that is both comfortable and productive, An opener and closer were included","The content was relevant and well structured, I like that you used Jeopardy to make the concepts more fun! It was great that students were working on problems up on the board so everyone could see the answer and different students worked on each problem! The miscellaneous column was also so fun and a great way to break up the math!","It's difficult with a smaller group to have students work together, but even still, I would have broken up the 4 students into two teams of two to force students to collaborate on solving the problems. The room setup is not super collaborative, but I also understand it can be difficult to set up with classes before/after the session, so what I recommend is asking students to sit at the same table/next to each other. It feels a bit awkward, but sometimes putting it up on the board and saying that it's part of the content you're covering makes students more willing. ",none :),,,
,CSCI-141,2,Middle,"SI Leader is prepared for the session, SI Leader had an agenda on the board, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), Time is managed effectively, Powerpoint is kept to a minimum, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader discusses, promotes, or models effective study strategies, The SI Leader sets a tone that is both comfortable and productive, An opener and closer were included",The content was very effectively structured and broken down to help the students understand the concepts. I liked that when another student joined the session you had the student already there explain the problem to him - a great way to check for understanding and incorporate the new student.  The session had a good atmosphere - sometimes smaller sessions feel awkward but it was clear that even so early in the semester the students feel comfortable around you!,"At one point the 2 students were working on the same problem separately - it could've helped to have them work on the same problem together. I know sometimes when the problem is something to work out on a whiteboard it's difficult to do in pairs, so something you could try is introducing multiple problems, and having each student solve one problem, and then explain their steps to the others. 

Also your student sneezed and you didn't say bless you :(",N/A,,,
,Math - 101,1,Middle,"SI Leader is prepared for the session, SI Leader had an agenda on the board, SI Leader is approachable, All students are engaged/involved in the session, Time is managed effectively, Powerpoint is kept to a minimum, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader discusses, promotes, or models effective study strategies","Used plenty of wait time, along with the whiteboard, to have a collaborative session

Avoided giving the student the answer outright, but instead used different examples to guide them down the right path, where the student would then return to the prior question to apply their new knowledge.

When the student was confused, the SI had them refer to their notes, redo a problem from them, and then apply that to the current problem. In particular, it allowed the student to have a template for the problem and enforced a study habit. ","The agenda was a little vague; if I were a student jumping in, I wouldn't have known what I missed or where we were. 

The student seemed to have some learning difficulties, so it seemed they had trouble grasping the equations. This can be tricky, so it might benefit from exploring new ways of explaining the content. For example, connecting equations to visual patterns, using color-coded steps to highlight structure, or incorporating real-world analogies (like balancing scales) to reinforce conceptual understanding. ",,,,
,Math 171,1,Opening,"SI Leader is prepared for the session, SI Leader had an agenda on the board, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Time is managed effectively, Powerpoint is kept to a minimum, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader sets a tone that is both comfortable and productive, An opener and closer were included","Created a welcoming, friendly environment that felt natural and peer-like, encouraging student comfort and participation.

Created a very student-led session, where the student was the one using the whiteboard most of the time. 

The SI consistently checked for understanding by having the student explain prior steps and connect ideas across problems. In particular, the SI had the student explain the same content in many different ways naturally, then had the student connect/group them altogether at the end. 

Wait time was used well, with questions rarely answered outright. Even when the SI provided an answer to maintain pacing, they still circled back to check for understanding. ",Nothing too much to say here,,,,
,CSCI-140,3,Middle,"SI Leader is prepared for the session, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), Powerpoint is kept to a minimum, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader sets a tone that is both comfortable and productive",He checked for understanding really well. He made sure all 3 students were included. He simplified several tough concepts for the students.,"There was no agenda on the board. Also, Haroon could use a little bit more wait time.",None,,,
,ECON-101,2,Middle,"SI Leader is prepared for the session, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Time is managed effectively, Powerpoint is kept to a minimum, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The SI Leader discusses, promotes, or models effective study strategies, The SI Leader sets a tone that is both comfortable and productive, An opener and closer were included",Good job structuring the session around what students wanted to review! They seemed to understand the content significantly better after going through the activities. You also did a great job clarifying the activities and hinting at the right direction instead of outright giving them the answer. ,I think you could structure the session to be a bit more collaborative. Calling one student up to the whiteboard at a time meant that the other tended to get disengaged and distracted in the meantime. Adding more redirection or having them alternate solving parts of the problem could help fix this. It was also a bit difficult to tell if the Chapters 5+6 section of the board was an agenda. I would recommend writing down the type of activity in addition to the topic. ,,,,
,MATH-171,1,Opening,"SI Leader had an agenda on the board, SI Leader is approachable, All students are engaged/involved in the session, Powerpoint is kept to a minimum, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader discusses, promotes, or models effective study strategies, The SI Leader sets a tone that is both comfortable and productive, An opener and closer were included","Good vibes, the student seemed comfortable chatting about break and jumping into content. You also did a great job guiding them in solving the chain problem, letting them guide the solving process. Also good job remembering the agenda on the whiteboard. ","Please please please let your students know ahead of time if you expect to be more than a few minutes late! Labs going overtime happens, but try to send out some sort of slack message/email, especially to your regulars. ","Jesse arrived 10 minutes late, and didn't respond until 15 mins into the session when I messaged him confirming the location. The student also reached out to him and didn't get a response. ",,,
,CSCI-141,3,Middle,"SI Leader is prepared for the session, SI Leader had an agenda on the board, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), Time is managed effectively, Powerpoint is kept to a minimum, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader discusses, promotes, or models effective study strategies, The SI Leader sets a tone that is both comfortable and productive, An opener and closer were included","Great session! The activities were a good mix of code and conceptual, and the pacing seemed quick but still through. The students seemed relaxed and engaged, and you had some good encouragement for them. The usage of slideshows was also good, enhancing and clarifying the content without just reading off of it. ","The only thing I'd suggest is to have the students write more on the board during the activities. While it definitely goes quicker with them just verbally answering the questions, them writing on the whiteboard too would really help reinforce the content. ",,,,
,CSCI-243,3,Middle,"SI Leader is prepared for the session, SI Leader had an agenda on the board, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), Time is managed effectively, Powerpoint is kept to a minimum, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader discusses, promotes, or models effective study strategies, The SI Leader sets a tone that is both comfortable and productive, An opener and closer were included",The session was very collaborative and student run! The SIL did a great job of redirecting questions and asking follow up questions to check for understanding in order to guide students who were stuck towards the answer without directly giving it. ,I don't have much to say here - this was a great session! The only thing I can think of is including some kind of study strategy somehow but other than that keep up the great work!,N/A,,,
,PHPS-106,11,Middle,"SI Leader is prepared for the session, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), Time is managed effectively, Powerpoint is kept to a minimum, SI Leader demonstrates adaptability and flexibility when needed, The SI Leader discusses, promotes, or models effective study strategies, The SI Leader sets a tone that is both comfortable and productive","She was extremely engaged and also had a great variety of activities, when I walked in there were about 6 whiteboards fully filled! Overall it was a great session, I was actually extremely interested myself and very tempted to stay the whole time. ",I noticed a lot of opportunities for redirection that she did not take; there was a tendency to just answer questions (which might be for time's sake since it's a very full session) but it'd be nice to see more of that and checking for understanding! ,,,,
,CHMG-141,7,Opening,"SI Leader is prepared for the session, SI Leader had an agenda on the board, SI Leader is approachable, Time is managed effectively, Powerpoint is kept to a minimum, SI Leader checks for understanding among students, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader sets a tone that is both comfortable and productive, An opener and closer were included","Big fan of Kahoots! It seems like they made use of the SI database with the activities that I saw, so that's always good to see. ","The session was not very engaging, I'd love to see them bring more energy to it! I also didn't see the main content of the session but I hope that there was more talking between students later because there was basically none in the beginning. ",,,,
,MATH-171,2,Opening,"SI Leader is prepared for the session, SI Leader had an agenda on the board, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), Powerpoint is kept to a minimum, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader sets a tone that is both comfortable and productive","She did a great job making sure the session was student-led even. The SIL sat down with the group and had them explain concepts while she wrote them down which gave them the time to explain what they knew. She also asked lots of additional/redirecting questions to ensure they really understood the material. 
Also, she did a great job of first asking the students questions to get them speaking and then shifting problem-solving to the students so they were the only ones speaking. This ensured both were both comfortable with speaking up and that they were working together to solve the problem. There was a great use of wait-time as she left the group to continue discussion when it looked like they were struggling to come to a decision on how to proceed with the problem.","She spent the first 7 minutes of session waiting for more students to come. It's fine to give the students some time so they can do collaborative work, but you could also give that time to the opener since you had that planned. That way, the student would have been occupied while others still had some time to come and join.",,,,
,ECON 101,3,Opening,"SI Leader is prepared for the session, SI Leader had an agenda on the board, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), Time is managed effectively, Powerpoint is kept to a minimum, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader discusses, promotes, or models effective study strategies, The SI Leader sets a tone that is both comfortable and productive, An opener and closer were included",The SIL has a great session environment. Super chill and relaxed and definitely very approachable and easy to talk to. The opener was super relevant and a great way to check for understanding and get students to reflect after their exam while also being an easy way for the SIL to see where students struggle more so they can tailor the content to that. The session was student led and collaborative and students were obviously super comfortable.,Not much to say here - this was a great session! Only thing I could say is make sure to start the session on time so you can ensure things end on time as well. ,N/A,,,
,MATH-171,0,No-Show; One-on-One Coaching with SI Leader,,,,,"Marketing that works well for you vs what they're trying, Strategies to connect with students, Talk about what their session plan was and provide feedback (positive and constructive), Weekly emails, Other","He walked me through his session plan. His opener is a great idea as it uses spaced repetition and has the students going over the topic frequently with time between sessions. The activities are a mix between collaborative and independent work which is a great way to show the students how to make independent studying possible in group study sessions. He also allows them to create their own problems which teaches them to create their own, personalized study guide which is a great study strategy. Altogether, I think that's an amazing study plan and I see no issues. I would just say to continue keeping that balance between having individual working opportunities and ensuring they are learning good group study skills.","He has been using candy and targeted review topics, in-class student referrals, and marketing sessions as group study sessions to increase engagement which are all great methods. I suggested punch cards which he is considering implementing. There are some students whose attendance is inconsistent and only for topics they are struggling with which is rather good because it means students are finding sessions helpful. 
We spoke about working with the rest of the cohort for activity ideas. He mentioned he does speak with some of the other SILs for ideas and is making use of some of his cohort now. "
,MATH-101,0,No-Show; One-on-One Coaching with SI Leader,,,,,"Talk about what their session plan was and provide feedback (positive and constructive), Other","I looked at his session plan and it was extremely solid, I know that he has tried virtually everything already so in part we also just talked life and his future plans with SI. ",I have to admit I would be much more demoralized than him in that position; he seems like a really awesome SI leader and I desperately hope he gets a chance to shine next semester
,MATH-171,1,Opening,"SI Leader is prepared for the session, SI Leader is approachable, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), Time is managed effectively, Powerpoint is kept to a minimum, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader sets a tone that is both comfortable and productive",She was very patient and it was very effective for a one student session. Shoutout to whiteboard problems. ,"Some simple things: There was no agenda on the board and no opener, don't forget to include these! ",,,,
,CSCI-243,2,Closing,"SI Leader is prepared for the session, SI Leader had an agenda on the board, SI Leader is approachable, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), Powerpoint is kept to a minimum, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader discusses, promotes, or models effective study strategies, The SI Leader sets a tone that is both comfortable and productive","The SIL did a great job checking for understanding by making the students go through the code on the board and show how they got their answer. The SIL also gave the students additional problems to work on after the session which is a great marketing tool and can help ensure students return or decide to start coming.
The discussion was a great way to get the students to actively recall material and the SIL did a great job of asking redirecting questions when the students didn't remember something from class. She also checked for understanding on what they wrote by asking questions that they would make them explain their understanding. Both students were engaged in the discussion and she redirected them to their notes which is a great way to remind them to use them to study.","The part of the session I saw was amazing, so this is more of a nitpick. Even during individual-work activities, it might to helpful to have students sit near each other or in the front of the room so that they engage with each other. ",,,,
,CHMG-141,5,Opening,"SI Leader is prepared for the session, SI Leader had an agenda on the board, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader discusses, promotes, or models effective study strategies, The SI Leader sets a tone that is both comfortable and productive",You did a great job of having collaborative work with a discussion to go over material from class. You also did a really great job of ensuring all group members participated by taking part in the discussion without answering the questions yourself.,"From what I saw, the session was going really well so this is more of a nitpick. Since there were fewer students, you could have them all work in a bigger group form the beginning so they will hopefully engage with each other more naturally or on their own. Also, there were times where the students were a bit confused and asked you questions. You could redirect them to their notes so they remember to make use of that as a resource as well.",,,,
,CHMG-141,5,Opening,"SI Leader is prepared for the session, SI Leader had an agenda on the board, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), Time is managed effectively, Powerpoint is kept to a minimum, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader discusses, promotes, or models effective study strategies, The SI Leader sets a tone that is both comfortable and productive, An opener and closer were included","Awesome structure and engagement, I was a particularly big fan of the slideshow's humorous images. She was also really well prepared.","It seemed a bit discussion heavy (just from what I was there for), which is great but as a next step I'd love to see some more activities that support different learning styles! ",,,,
,MATH-171,2,Middle,"SI Leader is prepared for the session, SI Leader had an agenda on the board, SI Leader is approachable, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), Time is managed effectively, Powerpoint is kept to a minimum, SI Leader checks for understanding among students, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader discusses, promotes, or models effective study strategies, The SI Leader sets a tone that is both comfortable and productive, An opener and closer were included","You did a great job keeping the students engaged with the activity and trying their best to solve the problems. When the students were struggling, you gave good hints. 
The activity where the students had to work together to put together the solution was a great way to have the students collaborate and check their understanding on the method on how to solve the problem.
You also asked some really good questions to thoroughly check their understanding of the material throughout the session.","To make the session seem more like a study group, you could have the students working together on the problems or checking each other's answers before you check it. This would allow them to correct each other, explain their reasoning (which would check their understanding), and show them how to study collaboratively. 
When you do collaborative work, ensure both students are participating as a group in solving the problem. Also, it might help them work better together if you don't answer their questions for a few minutes or immediately tell them whether each step is correct. They will then have to rely on each other or their notes if they have an issue which will help them also learn/remember things better.",,,,
,GCIS-123,4,Middle,"SI Leader is prepared for the session, SI Leader had an agenda on the board, SI Leader is approachable, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), Time is managed effectively, Powerpoint is kept to a minimum, SI Leader checks for understanding among students, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader discusses, promotes, or models effective study strategies, The SI Leader sets a tone that is both comfortable and productive","You did a great job in checking for understanding by having them run through the function and code it themselves. It's also a great idea to have them all code individually but still sit as a group to ensure they can ask each other questions or discuss if needed. You gave them some time and space to work on their own (great use of wait-time) before answering their questions or jumping in. Also, you asked great redirecting questions to students when they asked you a question instead of just giving them the solution. Using a timer was also a great way to make sure you're keeping track of the time you're giving for each activity.","There were times after you jumped in where a student would say they couldn't understand something or something wasn't working in your code, and you immediately jumped in to help. To promote collaboration, you could instead remind the students to help each other or look over each other's code. This will both help the confused student understand and the others to deepen their understanding by explaining the solution and reading someone else's code. 
Also, you could make the activity itself much more collaborative by having them work in pairs. It allows them to discuss the problem with someone else and learn how to study collaboratively even if someone with the solution isn't present.",,,,
,CSCI-141,1,Middle,"SI Leader is prepared for the session, SI Leader had an agenda on the board, SI Leader is approachable, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), Time is managed effectively, Powerpoint is kept to a minimum, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader discusses, promotes, or models effective study strategies, The SI Leader sets a tone that is both comfortable and productive","Nice job guiding the student along via all the facilitation strategies! It was an overall very solid session characteristic of a returning SI, and he adapted the pace well to the student since it was 1 on 1. ","There were just a couple moments where he held the pen to demonstrate something; instead I'd recommend giving hints or at least making them reexplain a little more after demonstrating. These moments were few, though. Also, based on the agenda, I'm not confident there was an opener or closer. ",,,,
,CHMG-141,9,Opening,"SI Leader is prepared for the session, SI Leader had an agenda on the board, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), Time is managed effectively, Powerpoint is kept to a minimum, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader discusses, promotes, or models effective study strategies, The SI Leader sets a tone that is both comfortable and productive, An opener and closer were included","You did a great job managing such a large group of students! It looked like everyone was engaged during the review opener, and I really liked how you asked everyone to sit in groups as as people came in so everyone had a pair. I also though the powerpoint was really effective in presenting the activity idea, and how it wasn't used for any lecturing. You and Gianna were really effective at going around and helping groups, pointing them in the right direction and letting them come up with the answer collaboratively!","No suggestions, it seemed like a picture-perfect session! :)",,,,
,MATH-171,1,Middle,"SI Leader is prepared for the session, SI Leader had an agenda on the board, SI Leader is approachable, All students are engaged/involved in the session, Time is managed effectively, Powerpoint is kept to a minimum, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader discusses, promotes, or models effective study strategies, The SI Leader sets a tone that is both comfortable and productive, An opener and closer were included","You did a great job asking follow-up questions, it was a really effective way to check for student understanding! I also really liked the idea of the derivative rule Kahoot, sorry that the image functionality didn't work with it :(. Good job encouraging the student to look at their notes, and guiding them in the right direction without telling them the answers.","The one thing I'd suggest is to make the practice problems a bit more engaging, as it feels very classwork-esque and not super collaborative. For example presenting them as a Jeopardy game or adding a real-world application problem statement. Also make sure to include what type of closer you're doing on the agenda.",,,,
